id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_informative,flip_y,time,my_time
0,none,0.3040826375906649,0.0001,417,475,-1,1089,327,4,7,0.07479794945725239,0.409987211227417,0.230885
1,l1,0.7277441802627995,0.001,578,569,1,790,373,4,7,0.07778086970406906,3.9509527683258057,2.445343
2,none,0.745885421981778,0.01,588,529,2,428,1198,2,6,0.030196244071848,0.3687019348144531,0.318166
3,none,0.47460508154356074,0.001,829,103,4,877,313,6,7,0.05726111196739875,1.00455904006958,0.633526
4,elasticnet,0.39504943688096783,0.001,167,418,2,216,644,8,11,0.07372770053649044,0.802800178527832,0.522463
5,l1,0.3588374957904995,0.001,986,94,4,1396,861,4,6,0.09748338067033964,7.9161131381988525,5.358248
6,none,0.7585653839942273,0.0001,929,532,2,908,691,5,6,0.09532428303952556,2.206062078475952,1.981703
7,l1,0.28284061070548894,0.0001,422,143,8,677,737,9,8,0.04046325489481176,2.4071426391601562,3.001323
8,l1,0.7661758876856857,0.01,308,85,8,498,1191,2,9,0.0256387618132787,1.0023410320281982,0.87679
9,l2,0.2490184932637317,0.001,510,574,8,1380,803,9,10,0.024620434819469406,1.6071443557739258,1.487642
10,none,0.8680995692048329,0.0001,479,535,8,1178,1047,7,8,0.017704942428251415,0.9056992530822754,0.912556
11,l2,0.5742061293137437,0.0001,259,960,2,860,639,10,11,0.03616481495832862,1.0038418769836426,0.749726
12,elasticnet,0.42195609141377366,0.001,618,460,4,628,195,3,9,0.077583934574177,0.8033866882324219,0.523804
13,l2,0.4984612123067702,0.01,668,503,8,500,1370,9,8,0.08575708243973679,1.2073915004730225,1.161843
14,l2,0.6587242099913071,0.0001,386,66,2,907,1090,5,9,0.0876985114764327,1.5073115825653076,1.178376
15,none,0.19389172529918391,0.0001,103,288,2,111,573,3,8,0.005868679446968262,0.10173439979553223,0.111255
16,none,0.7960227679052791,0.01,691,947,1,484,1276,3,7,0.08791140299792735,1.5640795230865479,1.204793
17,elasticnet,0.6317504304161463,0.01,719,259,2,103,209,9,9,0.05438506551653896,0.6033122539520264,0.510007
18,elasticnet,0.43155858753255794,0.001,265,895,4,646,1001,3,7,0.025358379135817777,1.4056007862091064,1.055257
19,elasticnet,0.7345661136846621,0.0001,365,736,2,1251,877,4,11,0.043639043188316434,6.0138421058654785,4.626075
20,none,0.7285332615700323,0.001,213,101,4,222,128,6,8,0.0008417235153927449,0.10415363311767578,0.113059
21,elasticnet,0.6600388540049907,0.001,280,443,8,336,646,3,6,0.06647163809040217,0.5041308403015137,0.428285
22,none,0.677498027639295,0.0001,213,445,2,859,562,8,9,0.03103868562128055,0.6031734943389893,0.435352
23,none,0.18438998226164083,0.01,306,446,-1,704,611,10,8,0.025607122260768944,0.30861377716064453,0.43158
24,l1,0.5011216536136293,0.0001,695,254,2,893,405,3,6,0.08439677229296458,3.1070635318756104,1.864283
25,none,0.6276622009258644,0.001,871,499,1,173,468,6,9,0.047897247997283,0.5425331592559814,0.397453
26,elasticnet,0.3245782630431623,0.001,973,987,2,426,245,7,9,0.042227339986699156,3.107123851776123,2.246548
27,l2,0.8561946304196905,0.0001,763,834,4,584,130,6,11,0.08896351678170922,0.30266284942626953,0.21239
28,none,0.24704260286445373,0.001,130,854,-1,1244,960,10,9,0.04282811077193123,0.307452917098999,0.495289
29,none,0.634387545939685,0.01,846,531,2,409,1243,9,11,0.028190907986109383,2.7064526081085205,2.089508
30,l2,0.8510890738622,0.001,362,610,-1,1052,973,9,10,0.028050896483092225,0.7103745937347412,0.977889
31,l2,0.8216642094476111,0.001,161,978,2,621,1037,6,7,0.09814697547263092,0.4031496047973633,0.351755
32,l2,0.6542838550567868,0.0001,944,678,4,151,835,3,9,0.021448468438189663,0.2023482322692871,0.215891
33,l1,0.3257694510905947,0.001,420,390,4,1058,607,8,7,0.09658465355286139,3.708951234817505,2.595
34,none,0.7971493593977803,0.001,794,684,2,826,327,3,10,0.0645607231819216,0.8034977912902832,0.521946
35,elasticnet,0.41555957089457973,0.001,639,205,2,418,768,4,8,0.028196963142578624,2.906409978866577,2.155939
36,none,0.7404370989013533,0.01,735,524,2,1071,889,9,10,0.007839659801525468,5.011070013046265,3.74181
37,none,0.3789600115834346,0.001,265,571,8,602,530,3,7,0.011067881120143975,0.20430803298950195,0.125183
38,l1,0.8840075789107326,0.0001,944,502,2,1396,493,10,11,0.09174469185288535,22.135640382766724,13.9122
39,none,0.6716039424758871,0.001,123,525,2,267,509,7,9,0.09063417498141625,0.1030123233795166,0.117411
40,l1,0.24525508657003572,0.001,452,293,-1,1194,1028,8,8,0.0667047897988047,3.6164932250976562,5.830498
41,elasticnet,0.12301806509370294,0.001,833,375,4,219,1309,5,9,0.024287178213052898,3.2080135345458984,2.474943
42,l2,0.6675707781727888,0.001,976,842,8,1217,113,7,11,0.07200079964563826,0.5041821002960205,0.324264
43,none,0.669810868816691,0.01,913,713,-1,329,806,3,7,0.06429757013824731,0.40801453590393066,0.319464
44,l2,0.8952199191980772,0.01,255,264,4,1064,627,7,8,0.0425560249806034,0.5038797855377197,0.444761
45,l2,0.31950425004433114,0.001,420,434,2,1366,944,5,9,0.05688755102155586,2.107222318649292,1.647553
46,elasticnet,0.44055626674393256,0.0001,480,139,2,1047,523,6,7,0.0410089248412041,6.312537670135498,4.329116
47,elasticnet,0.7187414191134247,0.0001,335,233,2,952,1379,7,12,0.06935144384447438,12.423436164855957,10.621094
48,elasticnet,0.5414965905671205,0.001,757,717,1,910,1059,5,10,0.028574633627662372,25.186214208602905,19.391204
49,none,0.4496557843334914,0.0001,513,658,-1,107,154,10,7,0.08139442325341502,0.1069338321685791,0.107301
50,l1,0.7695571806568671,0.0001,769,601,8,1152,233,8,11,0.022866477078510528,2.3074512481689453,1.75664
51,elasticnet,0.5235378988965808,0.01,686,191,4,486,369,5,9,0.06909200940448465,1.805185317993164,1.341586
52,l1,0.6611519079087187,0.0001,172,485,1,1284,826,6,7,0.0668817724868153,6.076055526733398,5.01437
53,elasticnet,0.5207638153587055,0.001,397,670,2,497,770,2,10,0.07296265397572932,1.0489177703857422,0.87022
54,elasticnet,0.16735354478384448,0.001,199,527,8,637,415,3,9,0.005147936700897338,0.5050563812255859,0.327373
55,l1,0.1663316073858921,0.0001,735,216,1,1313,686,3,9,0.0033718580514147225,10.916383266448975,8.257932
56,elasticnet,0.5373272297946595,0.01,939,533,-1,280,585,7,10,0.030784563183518122,1.3078649044036865,1.344503
57,l2,0.5783712904045345,0.001,526,675,-1,476,481,8,12,0.09317310722412209,0.20750188827514648,0.219952
58,none,0.13628286851694354,0.0001,727,543,4,1290,1048,7,7,0.0140836483861294,2.6082863807678223,1.95144
59,none,0.3335926773800143,0.01,686,6,8,1039,431,4,10,0.02025869713173724,0.6050031185150146,0.441251
60,none,0.533076731795474,0.001,758,454,8,1234,1252,4,10,0.01930982997985945,1.6086952686309814,1.249636
61,none,0.6985907193837194,0.01,600,778,1,763,1394,2,10,0.010422641637534636,0.7831168174743652,0.625987
62,l1,0.1458609365705768,0.0001,315,812,2,1157,459,4,9,0.09450055217448178,2.5060436725616455,1.265611
63,l1,0.7800786390018786,0.0001,839,788,2,239,211,9,7,0.08420323918835816,1.5040998458862305,0.827921
64,none,0.8476485957129611,0.01,560,206,1,1351,162,9,11,0.004227882502138425,1.9923043251037598,1.370265
65,l1,0.7644241872872437,0.001,275,78,8,592,316,5,9,0.008014936131210394,0.40386176109313965,0.312455
66,none,0.7959420991727629,0.001,401,801,1,663,1295,8,11,0.014647189940011707,3.3555126190185547,2.498185
67,l2,0.4295011572021925,0.0001,924,439,4,388,707,3,10,0.08897883598458463,0.4037935733795166,0.327739
68,l2,0.8844695832508869,0.01,370,137,8,517,1263,8,11,0.08232039900944621,0.4047586917877197,0.352187
69,l2,0.7813580651461537,0.001,373,763,4,1273,339,2,8,0.0314742879338604,0.29621005058288574,0.243326
70,none,0.722191940447987,0.001,764,493,8,664,1073,3,6,0.0699202045342529,0.705033540725708,0.552337
71,l2,0.5733142239953207,0.01,274,744,2,733,262,4,8,0.09645148455233274,0.3022291660308838,0.220984
72,l1,0.2897555425407708,0.01,270,324,1,1296,1264,5,10,0.07304949065061782,12.606068134307861,9.805662
73,l2,0.6330553464338657,0.0001,212,528,1,545,1099,5,7,0.027015069109764325,0.7832143306732178,0.621956
74,l2,0.8160960502041162,0.001,251,194,8,555,1121,4,7,0.02335571417277973,0.3048725128173828,0.245468
75,l1,0.4384201286058843,0.0001,460,2,-1,1126,1155,5,9,0.04794221509282807,3.6176950931549072,4.578189
76,elasticnet,0.16812692312121974,0.01,737,958,2,1050,809,8,10,0.0833761679380885,18.02988076210022,13.134736
77,none,0.2259206739618292,0.001,797,646,1,819,543,4,8,0.02981575183841726,1.8070294857025146,1.376404
78,l1,0.7158647246279053,0.01,423,651,1,869,311,4,6,0.039076710866044556,2.6755356788635254,1.729369
79,l2,0.7243331252036573,0.001,689,724,1,469,980,3,8,0.02263022392509674,1.1693971157073975,0.866837
80,l2,0.47023775527312817,0.0001,817,636,-1,977,281,5,9,0.0501818020544648,0.5089981555938721,0.324661
81,elasticnet,0.6815313500801998,0.0001,803,484,4,727,695,9,10,0.027913600393896912,8.816298007965088,6.883445
82,elasticnet,0.719170987466786,0.01,765,588,2,716,1326,2,7,0.02515933612439395,4.876769542694092,3.666362
83,elasticnet,0.6780894845426568,0.0001,247,245,4,229,947,9,9,0.0575133324697251,1.204249382019043,0.936395
84,l1,0.20282012954449735,0.001,870,996,1,679,291,10,9,0.05332177781689062,10.150572299957275,6.120008
85,none,0.5475678811273096,0.01,303,991,2,316,604,3,10,0.04378710609422018,0.20273900032043457,0.212359
86,elasticnet,0.6144576809408471,0.0001,723,528,-1,622,655,2,10,0.010718198006165691,2.045994281768799,1.485672
87,none,0.6602900766328983,0.0001,443,747,-1,366,1020,3,7,0.0168378620899626,0.3084378242492676,0.223889
88,elasticnet,0.34774724227155823,0.01,749,842,4,1336,696,2,7,0.06903141453053022,3.9894206523895264,2.81967
89,elasticnet,0.2164564782421996,0.01,816,481,2,178,187,10,11,0.06059616707965553,1.1040050983428955,0.71821
90,none,0.41910316992862773,0.001,519,737,-1,956,586,9,11,0.06194852529370814,0.6093137264251709,0.752861
91,none,0.2579260448134074,0.001,696,75,8,1261,877,3,9,0.0817309470791511,1.1061985492706299,0.878399
92,l1,0.5213275563571693,0.01,453,553,4,599,732,4,9,0.0608350860889583,1.304980754852295,0.835324
93,l2,0.10783522353600371,0.0001,277,622,8,1118,478,5,9,0.005698099408123792,0.3040142059326172,0.342593
94,elasticnet,0.796808239162756,0.001,738,565,4,141,1137,4,8,0.00047422143237767504,0.9035139083862305,0.737533
95,none,0.3527926084115345,0.001,105,120,4,1057,1263,6,8,0.004817400208749856,0.40472888946533203,0.396777
96,l1,0.6800409836931776,0.01,291,266,8,1283,1159,4,11,0.09058378040106348,2.8108086585998535,2.157086
97,elasticnet,0.2507379302379513,0.01,674,1000,8,1220,729,6,6,0.0032990972865976076,4.412492513656616,4.745399
98,l2,0.1938417667867386,0.01,277,955,8,619,280,5,7,0.04505320201662111,0.2041153907775879,0.114807
99,elasticnet,0.2541408234553223,0.001,348,990,4,1150,300,4,8,0.09305782416639607,1.404977798461914,1.240114
100,l1,0.7121113422597233,0.01,483,211,-1,1299,130,6,9,0.015476461706330569,1.1101112365722656,0.832238
101,none,0.8369647116906359,0.01,392,170,4,1192,1195,8,8,0.06960539541802299,1.7092716693878174,1.423326
102,elasticnet,0.5522681641945528,0.0001,105,230,-1,1063,922,10,8,0.021835744744154298,1.1138701438903809,1.902162
103,l2,0.695610175164051,0.0001,832,973,-1,948,1299,8,9,0.012388354577656958,1.5111682415008545,1.60285
104,l2,0.8359062968296559,0.01,982,214,4,581,605,6,10,0.031223133677859297,0.9041521549224854,0.734626
105,l2,0.37144674470121763,0.001,875,752,8,784,650,5,9,0.03379542191710742,0.704808235168457,0.643121
106,l2,0.6947105700080405,0.01,322,533,-1,1182,310,8,8,0.04645090476121019,0.3079860210418701,0.332687
107,none,0.26593031257580857,0.0001,254,798,-1,641,952,6,11,0.008695687813015463,0.3062272071838379,0.252612
108,l2,0.32578365733742676,0.01,555,631,-1,1285,1227,8,8,0.00803758476408114,1.3106327056884766,1.451391
109,l2,0.6039255965318284,0.0001,462,179,4,328,1039,7,8,0.025783833679965864,0.40360188484191895,0.428948
110,none,0.14159254724095893,0.001,794,196,4,972,516,3,7,0.09320505311446328,0.6036806106567383,0.536428
111,l2,0.5424551003985583,0.01,478,675,4,252,483,2,8,0.002610211867030976,0.07534170150756836,0.069551
112,none,0.6934076923540307,0.0001,316,728,4,707,300,2,8,0.009515852078830857,0.09172463417053223,0.095361
113,l1,0.26605189371711724,0.01,638,695,4,444,149,5,8,0.013493280489573024,0.6031577587127686,0.411499
114,elasticnet,0.6095512025522825,0.001,493,629,4,1105,637,2,6,0.015737663174637963,2.221226215362549,1.831495
115,elasticnet,0.33534869042145476,0.001,895,157,8,752,1080,4,10,0.04794167360484371,5.61328911781311,4.971216
116,none,0.15817688570499505,0.001,902,9,8,1194,480,7,8,0.05157171248318252,1.1058950424194336,1.158317
117,elasticnet,0.8340401909975071,0.0001,224,697,8,1330,589,4,10,0.07248992827282057,1.5071134567260742,1.175503
118,none,0.36438318264809744,0.01,820,155,4,1274,1318,7,10,0.038617116314076584,3.912236452102661,3.295394
